kappa,$\omega_{0}$,$\omega_{1}$,$\omega_{2}$,$\omega_{3}$,$\omega_{4}$
73,2.220446049250313e-16,-0.8532177908939358,0.8532177908939401,-0.5251044188502935,0.5251044188502947
74,1.887379141862766e-15,-0.8531486227161748,0.85314862271616,-0.5251218545214245,0.5251218545214247
75,2.3869795029440866e-15,-0.8530822162086852,0.853082216208668,-0.5251385651043751,0.5251385651043773
76,5.856426454897701e-15,-0.8530184261220775,0.8530184261220692,-0.5251545906199677,0.5251545906199716
77,2.498001805406602e-16,-0.8529571166421465,0.852957116642147,-0.5251699683435777,0.5251699683435777
78,2.4147350785597155e-15,-0.8528981606631015,0.8528981606630998,-0.5251847330295882,0.5251847330295882
79,4.413136522884997e-15,-0.8528414391253324,0.8528414391253256,-0.5251989171146613,0.525198917114663
80,1.7486012637846216e-15,-0.8527868404113086,0.8527868404112773,-0.5252125509019835,0.5252125509019879
81,1.3877787807814457e-16,-0.8527342597936273,0.8527342597936264,-0.5252256627285777,0.5252256627285818
82,2.7755575615628914e-16,-0.8526835989305505,0.8526835989305495,-0.525238279117398,0.5252382791173994
83,-5.551115123125783e-17,-0.8526347654038562,0.8526347654038472,-0.5252504249158108,0.5252504249158099
84,1.3877787807814457e-15,-0.8525876722954516,0.8525876722954376,-0.5252621234218339,0.5252621234218328
85,3.608224830031759e-15,-0.8525422377988715,0.8525422377988641,-0.5252733964993568,0.5252733964993526
86,-1.3877787807814457e-15,-0.8524983848624355,0.8524983848624297,-0.5252842646834104,0.525284264683413
87,-1.9984014443252818e-15,-0.8524560408611538,0.8524560408611401,-0.5252947472765399,0.5252947472765428
88,1.0824674490095276e-15,-0.8524151372947609,0.8524151372947492,-0.5253048624369978,0.5253048624369963
89,7.494005416219807e-16,-0.8523756095095613,0.8523756095095637,-0.5253146272596856,0.5253146272596867
90,7.494005416219807e-16,-0.8523373964418929,0.8523373964418982,-0.5253240578504514,0.5253240578504532
91,4.163336342344337e-16,-0.8523004403813851,0.8523004403813957,-0.5253331693943422,0.525333169394343
92,2.525757381022231e-15,-0.8522646867521825,0.85226468675219,-0.5253419762184182,0.5253419762184248
93,5.551115123125783e-15,-0.8522300839107345,0.8522300839107176,-0.5253504918496116,0.5253504918496144
94,-2.7755575615628914e-17,-0.8521965829585579,0.8521965829585343,-0.5253587290680153,0.5253587290680214
95,1.6930901125533637e-15,-0.8521641375689448,0.8521641375689488,-0.5253666999561186,0.5253666999561235
96,3.95516952522712e-15,-0.8521327038261862,0.8521327038261776,-0.5253744159442251,0.5253744159442251
97,5.6343818499726694e-15,-0.8521022400764257,0.8521022400764168,-0.5253818878524698,0.5253818878524756
98,1.1379786002407855e-15,-0.8520727067892434,0.8520727067892232,-0.52538912592971,0.5253891259297138
99,-6.938893903907228e-16,-0.85204406642892,0.85204406642895,-0.5253961398894952,0.525396139889502
100,1.2073675392798577e-15,-0.852016283334947,0.8520162833349421,-0.5254029389434658,0.5254029389434639
101,3.427813588530171e-15,-0.8519893236104186,0.8519893236104116,-0.5254095318322655,0.5254095318322718
102,7.382983113757291e-15,-0.8519631550184597,0.8519631550184794,-0.5254159268543573,0.5254159268543585
103,6.356026815979021e-15,-0.8519377468856187,0.8519377468856297,-0.525422131892645,0.5254221318926471
104,1.6375789613221059e-15,-0.8519130700115933,0.8519130700115572,-0.5254281544393764,0.5254281544393806
105,5.093148125467906e-15,-0.8518890965850481,0.8518890965850612,-0.5254340016192257,0.5254340016192268
106,6.938893903907228e-16,-0.8518658001052166,0.8518658001052424,-0.52543968021082,0.5254396802108212
107,3.83026943495679e-15,-0.8518431553083153,0.8518431553083119,-0.5254451966668269,0.5254451966668231
108,5.967448757360216e-16,-0.8518211380988254,0.8518211380988113,-0.5254505571326256,0.525450557132627
109,3.677613769070831e-15,-0.8517997254853111,0.8517997254853092,-0.5254557674638421,0.525455767463845
110,1.915134717478395e-15,-0.8517788955201939,0.85177889552019,-0.5254608332425983,0.5254608332426014
111,4.8433479449272454e-15,-0.851758627243364,0.8517586272433431,-0.5254657597927993,0.5254657597928015
112,2.248201624865942e-15,-0.8517389006293432,0.8517389006293296,-0.5254705521943881,0.5254705521943903
113,-1.3877787807814457e-16,-0.8517196965375942,0.8517196965375927,-0.5254752152966884,0.5254752152966901
114,6.38378239159465e-15,-0.8517009966661608,0.8517009966661434,-0.5254797537309206,0.5254797537309177
115,1.4432899320127035e-15,-0.8516827835077143,0.8516827835076985,-0.5254841719218876,0.5254841719218892
116,5.7870375158586285e-15,-0.8516650403086872,0.8516650403086977,-0.5254884740990118,0.5254884740990085
117,6.00908212078366e-15,-0.851647751030569,0.8516477510305508,-0.5254926643065685,0.5254926643065697
118,7.327471962526033e-15,-0.8516309003134631,0.8516309003134618,-0.525496746413433,0.5254967464134359
119,1.7208456881689926e-15,-0.8516144734421655,0.85161447344217,-0.5255007241221179,0.5255007241221235
120,6.536438057480609e-15,-0.8515984563137085,0.8515984563136862,-0.5255046009773461,0.5255046009773492
121,8.326672684688674e-15,-0.851582835407117,0.8515828354070981,-0.5255083803740539,0.525508380374057
122,-6.106226635438361e-16,-0.8515675977548438,0.8515675977548509,-0.5255120655649765,0.5255120655649762
123,2.2065682614424986e-15,-0.8515527309157711,0.8515527309157798,-0.5255156596677449,0.5255156596677423
124,2.0122792321330962e-15,-0.8515382229497327,0.8515382229497107,-0.5255191656715956,0.5255191656715957
125,4.565792188770956e-15,-0.8515240623935265,0.8515240623935153,-0.5255225864436938,0.5255225864436948
126,3.3029134982598407e-15,-0.8515102382382319,0.8515102382381984,-0.525525924735073,0.5255259247350759
127,4.6074255521944e-15,-0.851496739907682,0.8514967399076661,-0.5255291831862539,0.5255291831862563
128,4.440892098500626e-16,-0.8514835572383757,0.8514835572383697,-0.5255323643325696,0.5255323643325694
129,2.525757381022231e-15,-0.8514706804601027,0.8514706804601103,-0.5255354706091353,0.5255354706091387
130,4.996003610813204e-16,-0.8514581001779411,0.8514581001779435,-0.5255385043556183,0.5255385043556194
131,4.7878367936959876e-15,-0.8514458073550119,0.8514458073550325,-0.5255414678206732,0.525541467820677
132,4.551914400963142e-15,-0.8514337932963343,0.8514337932963066,-0.5255443631662018,0.5255443631662018
133,3.1225022567582528e-15,-0.8514220496331969,0.8514220496332073,-0.5255471924713162,0.5255471924713198
134,4.676814491233472e-15,-0.8514105683088502,0.8514105683088466,-0.5255499577361749,0.525549957736173
135,5.842548667089886e-15,-0.8513993415644056,0.8513993415644081,-0.5255526608854996,0.5255526608855032
136,4.496403249731884e-15,-0.8513883619258901,0.8513883619258977,-0.5255553037720525,0.525555303772051
137,-4.3021142204224816e-16,-0.8513776221916671,0.8513776221916541,-0.5255578881797682,0.5255578881797732
138,6.0645932720149176e-15,-0.8513671154206445,0.8513671154206367,-0.5255604158268914,0.5255604158268893
139,4.371503159461554e-15,-0.851356834921042,0.8513568349210523,-0.5255628883687808,0.5255628883687796
140,4.621303340002214e-15,-0.851346774239777,0.851346774239751,-0.5255653074007334,0.5255653074007349
141,7.049916206369744e-15,-0.8513369271521323,0.8513369271521477,-0.5255676744605503,0.5255676744605522
142,1.9845236565174673e-15,-0.8513272876524376,0.8513272876524257,-0.5255699910310155,0.5255699910310224
143,3.7192471324942744e-15,-0.8513178499445283,0.8513178499444919,-0.5255722585422609,0.5255722585422644
144,3.2335245592207684e-15,-0.8513086084332301,0.8513086084332422,-0.5255744783739736,0.5255744783739789
145,-2.761679773755077e-15,-0.8512995577161352,0.8512995577161112,-0.5255766518575735,0.5255766518575709
146,5.551115123125783e-17,-0.8512906925754165,0.8512906925754077,-0.5255787802781495,0.525578780278154
147,3.469446951953614e-16,-0.851282007970562,0.8512820079705401,-0.5255808648764846,0.5255808648764865
148,4.315992008230296e-15,-0.8512734990310445,0.8512734990310302,-0.5255829068507972,0.5255829068508006
149,3.2057689836051395e-15,-0.8512651610495717,0.8512651610495676,-0.5255849073585316,0.5255849073585296
150,3.1780134079895106e-15,-0.8512569894755015,0.8512569894754664,-0.525586867517993,0.5255868675179963
151,1.6375789613221059e-15,-0.851248979908589,0.8512489799085958,-0.5255887884099644,0.525588788409964
152,1.9290125052862095e-15,-0.8512411280932496,0.851241128093243,-0.5255906710791592,0.5255906710791601
153,1.887379141862766e-15,-0.8512334299126706,0.8512334299126507,-0.5255925165357046,0.5255925165357035
154,2.2620794126737565e-15,-0.851225881383474,0.8512258813834894,-0.5255943257564794,0.5255943257564826
155,4.427014310692812e-15,-0.8512184786506879,0.8512184786506797,-0.5255960996864508,0.5255960996864563
156,8.31279489688086e-15,-0.8512112179826034,0.8512112179826105,-0.5255978392398994,0.5255978392399024
157,3.8441472227646045e-15,-0.8512040957662559,0.8512040957662383,-0.5255995453016042,0.5255995453016055
158,2.2898349882893854e-15,-0.8511971085027877,0.8511971085027494,-0.5256012187280061,0.5256012187280067
159,4.6351811278100286e-15,-0.8511902528032048,0.8511902528031676,-0.5256028603482601,0.5256028603482605
160,5.773159728050814e-15,-0.8511835253842739,0.8511835253842954,-0.5256044709653115,0.5256044709653143
161,-7.771561172376096e-16,-0.8511769230646146,0.8511769230646076,-0.5256060513568631,0.5256060513568618
162,5.9396931817445875e-15,-0.8511704427608251,0.8511704427608145,-0.5256076022763109,0.5256076022763133
163,-2.067790383364354e-15,-0.8511640814839763,0.8511640814839682,-0.5256091244536943,0.525609124453692
164,8.81239525796218e-15,-0.8511578363360729,0.8511578363360736,-0.5256106185965042,0.5256106185965084
165,1.0533240946131173e-14,-0.8511517045068723,0.8511517045068936,-0.5256120853905735,0.5256120853905835
166,7.147060721024445e-15,-0.8511456832706615,0.8511456832706561,-0.5256135255008483,0.5256135255008539
167,6.25888230132432e-15,-0.8511397699830987,0.8511397699831226,-0.5256149395720996,0.5256149395721124
168,3.9968028886505635e-15,-0.8511339620785694,0.8511339620785767,-0.5256163282297678,0.5256163282297656
169,8.007483565108942e-15,-0.8511282570671597,0.8511282570671388,-0.5256176920805055,0.5256176920805063
170,3.0253577421035516e-15,-0.85112265253206,0.8511226525320439,-0.5256190317129869,0.525619031712991
171,9.270362255620057e-15,-0.8511171461271041,0.8511171461270908,-0.5256203476984834,0.5256203476984924
172,-5.315192730392937e-15,-0.851111735574142,0.8511117355741477,-0.5256216405914788,0.5256216405914855
173,6.855627177060342e-15,-0.8511064186608385,0.8511064186608235,-0.5256229109302711,0.5256229109302724
174,1.0408340855860843e-14,-0.8511011932382772,0.8511011932382636,-0.5256241592375065,0.5256241592375069
175,5.898059818321144e-15,-0.851096057218851,0.8510960572188712,-0.5256253860207741,0.5256253860207847
176,7.91033905045424e-15,-0.8510910085742595,0.851091008574241,-0.525626591773122,0.5256265917731267
177,-2.3592239273284576e-15,-0.8510860453332615,0.8510860453332729,-0.5256277769734692,0.5256277769734782
178,7.188694084447889e-15,-0.8510811655800499,0.851081165580011,-0.5256289420872133,0.5256289420872252
179,1.790234627208065e-15,-0.8510763674521454,0.8510763674521153,-0.525630087566603,0.525630087566608
180,1.1546319456101628e-14,-0.8510716491387353,0.8510716491387463,-0.5256312138511887,0.5256312138511947
181,3.982925100842749e-15,-0.8510670088790867,0.851067008879063,-0.5256323213682961,0.5256323213682997
182,2.761679773755077e-15,-0.8510624449605679,0.8510624449605636,-0.5256334105333847,0.5256334105333851
183,7.716050021144838e-15,-0.8510579557174219,0.8510579557174166,-0.5256344817504524,0.5256344817504681
184,6.036837696399289e-15,-0.8510535395289972,0.8510535395290295,-0.525635535412463,0.5256355354124674
185,5.842548667089886e-15,-0.8510491948184494,0.8510491948185168,-0.5256365719016116,0.5256365719016128
186,6.0923488476305465e-15,-0.8510449200512105,0.8510449200512519,-0.5256375915897536,0.5256375915897541
187,5.370703881624195e-15,-0.8510407137337219,0.8510407137337179,-0.5256385948387164,0.5256385948387167
188,7.605027718682322e-15,-0.851036574411996,0.851036574412052,-0.5256395820006274,0.5256395820006202
189,5.093148125467906e-15,-0.8510325006705955,0.8510325006705908,-0.5256405534181772,0.5256405534181896
190,-2.6645352591003757e-15,-0.8510284911312015,0.8510284911311694,-0.5256415094250528,0.5256415094250562
191,2.8171909249863347e-15,-0.8510245444514356,0.8510245444513734,-0.5256424503460405,0.5256424503460445
192,3.8719027983802334e-15,-0.8510206593239471,0.8510206593239104,-0.5256433764974487,0.5256433764974554
193,2.824129818890242e-15,-0.8510168344751992,0.8510168344751873,-0.5256442881873197,0.5256442881873168
194,6.175615574477433e-16,-0.8510130686643923,0.8510130686644055,-0.5256451857156732,0.5256451857156715
195,7.632783294297951e-17,-0.8510093606825079,0.8510093606824832,-0.5256460693747945,0.5256460693748024
196,6.8486882831564344e-15,-0.8510057093512803,0.851005709351313,-0.5256469394494597,0.5256469394494656
197,4.371503159461554e-16,-0.851002113522399,0.8510021135223752,-0.525647796217157,0.5256477962171544
198,1.2448375663609568e-14,-0.8509985720763846,0.8509985720763722,-0.5256486399482808,0.5256486399482847
199,7.840950111415168e-16,-0.8509950839219814,0.8509950839219851,-0.5256494709064364,0.5256494709064464
