freq,R,T
0.5,0.3827938433198262,0.032772685149146843
0.5500000000000007,0.3700816672067374,0.03135134268654048
0.6000000000000005,0.3596791533687475,0.029906542753230115
0.6500000000000004,0.35151594816653303,0.02845504537911121
0.7000000000000002,0.3454912647011696,0.027011482831318035
0.75,0.34148135693368953,0.0255883080030986
0.8000000000000007,0.33934642762921374,0.024195839536058604
0.8500000000000005,0.3389367425581838,0.022842378557808223
0.9000000000000004,0.340097836545017,0.02153437382316651
0.9500000000000002,0.34267478575351523,0.020276615302853004
1.0,0.3465155843140525,0.01907244010195789
1.0500000000000007,0.3514737044614471,0.017923938452177497
1.1000000000000005,0.35740994180798047,0.01683215104938114
1.1500000000000004,0.36419365573159496,0.015797252011925965
1.2000000000000002,0.3717035133548543,0.01481871414980922
